eval,T,current_cost,best_cost,accepted
3238,2.2564686383841135e-05,587.0,587.0,0
3239,2.245186295192193e-05,587.0,587.0,0
3240,2.233960363716232e-05,587.0,587.0,0
3241,2.2227905618976507e-05,587.0,587.0,0
3242,2.2116766090881626e-05,587.0,587.0,0
3243,2.200618226042722e-05,587.0,587.0,0
3244,2.189615134912508e-05,587.0,587.0,0
3245,2.1786670592379455e-05,587.0,587.0,0
3246,2.1677737239417558e-05,587.0,587.0,0
3247,2.156934855322047e-05,587.0,587.0,0
3248,2.1461501810454365e-05,587.0,587.0,0
3249,2.1354194301402095e-05,587.0,587.0,0
3250,2.1247423329895083e-05,587.0,587.0,0
3251,2.1141186213245608e-05,587.0,587.0,0
3252,2.103548028217938e-05,587.0,587.0,0
3253,2.0930302880768485e-05,587.0,587.0,0
3254,2.0825651366364642e-05,587.0,587.0,0
3255,2.072152310953282e-05,587.0,587.0,0
3256,2.0617915493985155e-05,587.0,587.0,0
3257,2.051482591651523e-05,587.0,587.0,0
3258,2.0412251786932653e-05,587.0,587.0,0
3259,2.031019052799799e-05,587.0,587.0,0
3260,2.0208639575358e-05,587.0,587.0,0
3261,2.010759637748121e-05,587.0,587.0,0
3262,2.0007058395593804e-05,587.0,587.0,0
3263,1.9907023103615833e-05,587.0,587.0,0
3264,1.9807487988097754e-05,587.0,587.0,0
3265,1.9708450548157266e-05,587.0,587.0,0
3266,1.960990829541648e-05,587.0,587.0,0
3267,1.95118587539394e-05,587.0,587.0,0
3268,1.9414299460169702e-05,587.0,587.0,0
3269,1.9317227962868852e-05,587.0,587.0,0
3270,1.9220641823054507e-05,587.0,587.0,0
3271,1.9124538613939235e-05,587.0,587.0,0
3272,1.902891592086954e-05,587.0,587.0,0
3273,1.8933771341265192e-05,587.0,587.0,0
3274,1.8839102484558868e-05,587.0,587.0,0
3275,1.8744906972136075e-05,587.0,587.0,0
3276,1.8651182437275395e-05,587.0,587.0,0
3277,1.8557926525089017e-05,587.0,587.0,0
3278,1.8465136892463572e-05,587.0,587.0,0
3279,1.8372811208001254e-05,587.0,587.0,0
3280,1.8280947151961246e-05,587.0,587.0,0
3281,1.818954241620144e-05,587.0,587.0,0
3282,1.8098594704120434e-05,587.0,587.0,0
3283,1.8008101730599833e-05,587.0,587.0,0
3284,1.7918061221946834e-05,587.0,587.0,0
3285,1.78284709158371e-05,587.0,587.0,0
3286,1.7739328561257913e-05,587.0,587.0,0
3287,1.7650631918451623e-05,587.0,587.0,0
3288,1.7562378758859365e-05,587.0,587.0,0
3289,1.7474566865065066e-05,587.0,587.0,0
3290,1.7387194030739743e-05,587.0,587.0,0
3291,1.7300258060586044e-05,587.0,587.0,0
3292,1.7213756770283113e-05,587.0,587.0,0
3293,1.7127687986431697e-05,587.0,587.0,0
3294,1.704204954649954e-05,587.0,587.0,0
3295,1.6956839298767043e-05,587.0,587.0,0
3296,1.687205510227321e-05,587.0,587.0,0
3297,1.678769482676184e-05,587.0,587.0,0
3298,1.6703756352628033e-05,587.0,587.0,0
3299,1.6620237570864894e-05,587.0,587.0,0
3300,1.653713638301057e-05,587.0,587.0,0
3301,1.6454450701095516e-05,587.0,587.0,0
3302,1.637217844759004e-05,587.0,587.0,0
3303,1.629031755535209e-05,587.0,587.0,0
3304,1.620886596757533e-05,587.0,587.0,0
3305,1.612782163773745e-05,587.0,587.0,0
3306,1.6047182529548765e-05,587.0,587.0,0
3307,1.596694661690102e-05,587.0,587.0,0
3308,1.5887111883816518e-05,587.0,587.0,0
3309,1.5807676324397436e-05,587.0,587.0,0
3310,1.5728637942775448e-05,587.0,587.0,0
3311,1.564999475306157e-05,587.0,587.0,0
3312,1.5571744779296264e-05,587.0,587.0,0
3313,1.5493886055399783e-05,587.0,587.0,0
3314,1.5416416625122784e-05,587.0,587.0,0
3315,1.533933454199717e-05,587.0,587.0,0
3316,1.5262637869287183e-05,587.0,587.0,0
3317,1.5186324679940746e-05,587.0,587.0,0
3318,1.5110393056541043e-05,587.0,587.0,0
3319,1.5034841091258338e-05,587.0,587.0,0
3320,1.4959666885802045e-05,587.0,587.0,0
3321,1.4884868551373035e-05,587.0,587.0,0
3322,1.481044420861617e-05,587.0,587.0,0
3323,1.473639198757309e-05,587.0,587.0,0
3324,1.4662710027635224e-05,587.0,587.0,0
3325,1.4589396477497049e-05,587.0,587.0,0
3326,1.4516449495109563e-05,587.0,587.0,0
3327,1.4443867247634015e-05,587.0,587.0,0
3328,1.4371647911395845e-05,587.0,587.0,0
3329,1.4299789671838866e-05,587.0,587.0,0
3330,1.4228290723479671e-05,587.0,587.0,0
3331,1.4157149269862274e-05,587.0,587.0,0
3332,1.4086363523512962e-05,587.0,587.0,0
3333,1.4015931705895397e-05,587.0,587.0,0
3334,1.394585204736592e-05,587.0,587.0,0
3335,1.3876122787129091e-05,587.0,587.0,0
3336,1.3806742173193446e-05,587.0,587.0,0
3337,1.3737708462327478e-05,587.0,587.0,0
3338,1.3669019920015841e-05,587.0,587.0,0
3339,1.3600674820415763e-05,587.0,587.0,0
3340,1.3532671446313683e-05,587.0,587.0,0
3341,1.3465008089082115e-05,587.0,587.0,0
3342,1.3397683048636705e-05,587.0,587.0,0
3343,1.3330694633393521e-05,587.0,587.0,0
3344,1.3264041160226554e-05,587.0,587.0,0
3345,1.3197720954425421e-05,587.0,587.0,0
3346,1.3131732349653294e-05,587.0,587.0,0
3347,1.3066073687905028e-05,587.0,587.0,0
3348,1.3000743319465503e-05,587.0,587.0,0
3349,1.2935739602868176e-05,587.0,587.0,0
3350,1.2871060904853835e-05,587.0,587.0,0
3351,1.2806705600329566e-05,587.0,587.0,0
3352,1.2742672072327917e-05,587.0,587.0,0
3353,1.2678958711966278e-05,587.0,587.0,0
3354,1.2615563918406446e-05,587.0,587.0,0
